,Budget Per Query,Base_1000Q,Base_5000Q
797,0.00001,0.001,0.0002
798,0.00001,0.001,0.0002
799,0.01,0.001,0.0002
800,0.01,0.001,0.0002
801,0.01,0.001,0.0002
802,0.01,0.001,0.0002
803,0.01,0.001,0.0002
804,0.01,0.001,0.0002
805,0.01,0.001,0.0002
806,0.01,0.001,0.0002
807,0.01,0.001,0.0002
808,0.01,0.001,0.0002
809,0.05,0.001,0.0002
810,0.01,0.001,0.0002
811,0.01,0.001,0.0002
812,0.01,0.001,0.0002
813,0.01,0.001,0.0002
814,0.01,0.001,0.0002
815,0.01,0.001,0.0002
816,0.01,0.001,0.0002
817,0.01,0.001,0.0002
818,0.01,0.001,0.0002
819,0.01,0.001,0.0002
820,0.01,0.001,0.0002
821,0.01,0.001,0.0002
822,0.01,0.001,0.0002
823,0.0001,0.001,0.0002
824,0.01,0.001,0.0002
825,0.01,0.001,0.0002
826,0.01,0.001,0.0002
827,0.01,0.001,0.0002
828,0.01,0.001,0.0002
829,0.01,0.001,0.0002
830,0.01,0.001,0.0002
831,0.00001,0.001,0.0002
832,0.01,0.001,0.0002
833,0.01,0.001,0.0002
834,0.01,0.001,0.0002
835,0.01,0.001,0.0002
836,0.036,0.001,0.0002
837,0.01,0.001,0.0002
838,0.01,0.001,0.0002
839,0.022,0.001,0.0002
840,0.01,0.001,0.0002
841,0.001,0.001,0.0002
842,0.01,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
,,0.001,0.0002
